Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021742846,3530,Disorder,Disorder,Closed,COLOGNE ST,MARTINBOROUGH,SOUTH WAIRARAPA,Sat 7:10 PM
P021743471,1U,Traffic Offending,Road Policing,Closed,SH 1,KAWAKAWA,FAR NORTH,Sat 7:10 PM
P021743408,1U,Traffic Offending,Road Policing,Closed,-,,,Sat 7:10 PM
P021743492,1U,Traffic Offending,Road Policing,Closed,AYLESBURY RD,BURNHAM,SELWYN,Sat 7:10 PM
P021742959,1D,Domestic Dispute,Family violence,Closed,TEMPLETON PL,CLENDON PARK,AUCKLAND,Sat 7:09 PM
P021741939,1D,Domestic Dispute,Family violence,Closed,GROVE RD,PAPAKURA,AUCKLAND,Sat 7:07 PM
P021742958,1D,Domestic Dispute,Family violence,Closed,THIRD ST,LANSDOWNE,MASTERTON,Sat 7:06 PM
P021743025,1C,Car/Person Acting Suspiciously,Public safety,Closed,WAIRAU RD,TAKAPUNA,AUCKLAND,Sat 7:00 PM
P021743371,1C,Car/Person Acting Suspiciously,Public safety,Closed,ELLERSLIE PARK RD,ELLERSLIE,AUCKLAND,Sat 7:00 PM
P021743109,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SH 1,HUNTLY,WAIKATO,Sat 7:00 PM
P021743361,1V,Vehicle Collision,Road Policing,Closed,-,OHAKURI,TAUPO,Sat 7:00 PM
P021743256,2M,Missing Person,Public safety,Closed,BALMORAL DR,TOKOROA,SOUTH WAIKATO,Sat 7:00 PM
P021743418,3H,Hotel Visit,Liquor,Closed,NULL,AMBERLEY,HURUNUI,Sat 7:00 PM
P021743398,3H,Hotel Visit,Liquor,Closed,-,,,Sat 7:00 PM
P021743360,3H,Hotel Visit,Liquor,Closed,-,,,Sat 7:00 PM
P021743320,6110,Trespass,Public safety,Closed,CENTRAL AV,AVENUES,WHANGAREI,Sat 7:00 PM
P021743393,1U,Traffic Offending,Road Policing,Closed,GREEN LA,GREENLANE,AUCKLAND,Sat 7:00 PM
P021743235,1U,Traffic Offending,Road Policing,Closed,SH 1,QUEEN ELIZABETH PARK,KAPITI,Sat 7:00 PM
P021743262,1510,Serious Assaults,Violence,Closed,LEVERS RD,MATUA,TAURANGA,Sat 6:50 PM
P021742421,1710,Intimidation/Threats,Violence,Cancelled,VINO CINA HTS,RANUI,AUCKLAND,Sat 6:50 PM
P021742990,1C,Car/Person Acting Suspiciously,Public safety,Closed,KAIPARA   HWY,KAUKAPAKAPA,AUCKLAND,Sat 6:50 PM
P021743297,1C,Car/Person Acting Suspiciously,Public safety,Closed,-,HUAPAI,AUCKLAND,Sat 6:50 PM
P021743268,1I,Blockage/Breakdown On Highway,Road Policing,Closed,-,CAMBRIDGE,WAIPA,Sat 6:50 PM
P021743314,1V,Vehicle Collision,Road Policing,Closed,SHAW RD,ORATIA,AUCKLAND,Sat 6:50 PM
P021743106,3530,Disorder,Disorder,Closed,POOKS RD,RANUI,AUCKLAND,Sat 6:50 PM
P021743269,3H,Hotel Visit,Liquor,Closed,-,,,Sat 6:50 PM
P021743307,3H,Hotel Visit,Liquor,Closed,-,,,Sat 6:50 PM
P021743238,6110,Trespass,Public safety,Closed,KINGS RD,PAIHIA,FAR NORTH,Sat 6:50 PM
P021743294,1U,Traffic Offending,Road Policing,Closed,GREAT SOUTH RD,MANUREWA,AUCKLAND,Sat 6:50 PM
P021742970,1U,Traffic Offending,Road Policing,Closed,KAKARAMEA RD,NGAHINAPOURI,WAIPA,Sat 6:50 PM
P021742753,1S,Sudden Death,Public safety,Closed,RUATOKI VALLEY RD,RUATOKI,WHAKATANE,Sat 6:45 PM
P021742670,1S,Sudden Death,Public safety,Closed,DONNELLEY DR,WAINUIOMATA,LOWER HUTT,Sat 6:40 PM
P021743164,1D,Domestic Dispute,Family violence,Closed,ELSTREE AV,POINT ENGLAND,AUCKLAND,Sat 6:40 PM
P021742996,1H,Drunk Home,Liquor,Closed,PALMERS RD,CLENDON PARK,AUCKLAND,Sat 6:40 PM
P021743180,1I,Blockage/Breakdown On Highway,Road Policing,Closed,NORTHERN MWY,TOTARA VALE,AUCKLAND,Sat 6:40 PM
P021743185,3H,Hotel Visit,Liquor,Closed,-,,,Sat 6:40 PM
P021743196,1U,Traffic Offending,Road Policing,Closed,JOHNSONVILLE PORIRUA MWY,TAWA,WELLINGTON,Sat 6:40 PM
P021742664,1D,Domestic Dispute,Family violence,Closed,SAPPHIRE PL,PUKEHANGI,ROTORUA,Sat 6:38 PM
P021742632,1V,Vehicle Collision,Road Policing,Closed,-,GREY LYNN,AUCKLAND,Sat 6:30 PM
P021743067,3530,Disorder,Disorder,Cancelled,GREAT SOUTH RD,MANUREWA,AUCKLAND,Sat 6:30 PM
P021742871,3530,Disorder,Disorder,Cancelled,HUME PL,FAIRFIELD,HAMILTON,Sat 6:30 PM
P021742971,3H,Hotel Visit,Liquor,Closed,-,,,Sat 6:30 PM
P021743082,6110,Trespass,Public safety,Closed,ADELAIDE RD,MOUNT COOK,WELLINGTON,Sat 6:30 PM
P021742379,6I,Unauthorised Street And Drag Racing,Disorder,Closed,-,BROWNS BAY,AUCKLAND,Sat 6:30 PM
P021742092,1U,Traffic Offending,Road Policing,Closed,SELAGO PL,MANUREWA,AUCKLAND,Sat 6:30 PM
P021742586,1S,Sudden Death,Public safety,Closed,RICHMOND HILL RD,RICHMOND HILL,CHRISTCHURCH,Sat 6:28 PM
P021742551,1D,Domestic Dispute,Family violence,Closed,VIVIAN ST,BURWOOD,CHRISTCHURCH,Sat 6:24 PM
